catchment_id,pixel_count,area_km2,mean_slope,mean_flow_accum,max_flow_accum,drainage_density,region
A9,63859,57.473,0.0,4251.65,63859.0,1.755,Assam
A10,96887,87.198,0.0,1914.49,96887.0,0.002,Assam
A11,53315,47.984,0.0,1933.19,53315.0,0.001,Assam
A12,107536,96.782,0.0,1802.1,107536.0,0.002,Assam
A13,64799,58.319,0.0,1642.56,64799.0,0.002,Assam
A14,64261,57.835,0.01,4937.47,64261.0,1.847,Assam
A15,106628,95.965,0.0,1784.1,106628.0,0.002,Assam
A16,106481,95.833,0.0,3656.24,106481.0,1.005,Assam
A17,154870,139.383,0.0,4781.61,154870.0,1.199,Assam
A18,155057,139.551,0.0,5558.09,155057.0,0.76,Assam
A19,67160,60.444,0.0,1773.34,67160.0,0.001,Assam
A20,75582,68.024,0.0,3880.48,75582.0,1.535,Assam
A21,56678,51.01,0.0,1778.31,56678.0,0.001,Assam
A22,50621,45.559,0.0,1774.71,50621.0,0.002,Assam
A23,87318,78.586,0.0,4033.15,87318.0,1.231,Assam
A24,97475,87.728,0.0,4155.01,97475.0,1.168,Assam
A25,77648,69.883,0.0,2080.26,77648.0,0.001,Assam
A26,108787,97.908,0.0,1771.35,108787.0,0.002,Assam
A27,92412,83.171,0.0,4264.69,92412.0,1.31,Assam
A28,75449,67.904,11.19,369.14,75449.0,0.079,Assam
A29,64335,57.902,0.0,3269.99,64335.0,1.335,Assam
A30,55855,50.27,0.0,1749.26,55855.0,0.001,Assam
A31,71426,64.283,0.0,3066.23,71426.0,1.196,Assam
A32,140308,126.277,0.0,4482.98,140308.0,0.755,Assam
A33,51531,46.378,0.0,2177.31,51531.0,0.012,Assam
A34,94491,85.042,0.0,4418.2,94491.0,1.221,Assam
A35,59670,53.703,18.82,285.86,59670.0,0.045,Assam
A36,53981,48.583,9.89,346.01,53981.0,0.068,Assam
A37,86985,78.286,0.0,4610.52,86985.0,1.319,Assam
A38,78052,70.247,12.86,368.77,78052.0,0.062,Assam
A39,190593,171.534,0.04,5987.82,190593.0,0.964,Assam
A40,75412,67.871,0.01,5142.24,75412.0,1.546,Assam
A41,132830,119.547,0.0,4389.27,132830.0,0.905,Assam
A42,57697,51.927,6.78,281.98,57697.0,0.056,Assam
A43,63177,56.859,0.0,4392.23,63177.0,1.761,Assam
A44,79589,71.63,0.0,1765.32,79589.0,0.018,Assam
A45,100152,90.137,14.67,448.17,100152.0,0.064,Assam
A46,63572,57.215,0.0,1681.68,63572.0,0.003,Assam
A47,94350,84.915,0.01,3583.76,94350.0,1.215,Assam
A48,84076,75.668,16.28,334.21,84076.0,0.076,Assam
A49,89198,80.278,0.0,3487.45,89198.0,0.972,Assam
A50,170029,153.026,0.0,3255.64,170029.0,0.798,Assam
A51,167240,150.516,0.0,5836.83,167240.0,1.439,Assam
A52,116672,105.005,0.0,4899.17,116672.0,1.068,Assam
A53,75099,67.589,6.21,411.76,75099.0,0.111,Assam
A54,270121,243.109,0.0,3307.9,270121.0,0.45,Assam
A55,113163,101.847,0.0,3031.06,113163.0,0.498,Assam
A56,92916,83.624,15.8,362.63,92916.0,0.114,Assam
A57,87445,78.7,8.7,388.11,87445.0,0.096,Assam
A58,319216,287.294,0.0,4902.29,319216.0,0.687,Assam
A59,89783,80.805,0.0,2814.64,89783.0,0.018,Assam
A60,101184,91.066,0.0,3980.09,101184.0,1.042,Assam
A61,134250,120.825,0.0,4069.7,134250.0,0.895,Assam
A62,100446,90.401,0.01,4798.5,100446.0,1.092,Assam
A63,86915,78.224,10.26,530.86,86915.0,0.161,Assam
A64,111277,100.149,0.0,1702.79,111277.0,0.027,Assam
A65,110725,99.652,0.0,4133.42,110725.0,1.044,Assam
A66,59905,53.914,0.0,1792.52,59905.0,0.067,Assam
A67,82706,74.435,0.0,4639.95,82706.0,1.54,Assam
A68,95379,85.841,0.0,4028.74,95379.0,1.136,Assam
A69,300917,270.825,0.0,7453.02,300917.0,1.036,Assam
A70,50841,45.757,4.54,292.38,50841.0,0.015,Assam
A71,116416,104.774,15.49,541.9,116416.0,0.144,Assam
A72,52457,47.211,0.0,1718.78,52457.0,0.022,Assam
A73,88662,79.796,0.0,4287.89,88662.0,1.396,Assam
A74,252060,226.854,0.0,3598.7,252060.0,0.531,Assam
A75,55892,50.303,0.0,1669.74,55892.0,0.001,Assam
A76,81113,73.002,0.0,3943.09,81113.0,1.271,Assam
A77,52424,47.182,0.0,1995.41,52424.0,0.143,Assam
A78,131023,117.921,12.53,691.88,131023.0,0.203,Assam
A79,113658,102.292,0.0,1689.42,113658.0,0.04,Assam
A80,127242,114.518,0.0,4358.77,127242.0,0.793,Assam
A81,187442,168.698,12.42,670.59,187442.0,0.14,Assam
A82,58299,52.469,17.44,340.25,58299.0,0.057,Assam
A83,55540,49.986,0.0,1670.75,55540.0,0.001,Assam
A84,177354,159.619,15.32,622.24,177354.0,0.134,Assam
A85,66586,59.927,23.82,273.26,66586.0,0.009,Assam
A86,109805,98.824,0.0,4134.33,109805.0,1.022,Assam
A87,106643,95.979,7.11,462.45,106643.0,0.088,Assam
A88,266548,239.893,15.84,837.88,266548.0,0.121,Assam
A89,88202,79.382,0.0,1682.19,88202.0,0.157,Assam
A90,262059,235.853,8.91,873.87,262059.0,0.145,Assam
A91,279101,251.191,0.0,3375.33,279101.0,0.475,Assam
A92,56199,50.579,0.0,1520.62,56199.0,0.021,Assam
A93,103137,92.823,11.6,414.51,103137.0,0.125,Assam
A94,139213,125.292,0.0,3641.02,139213.0,0.998,Assam
A95,57338,51.604,10.79,340.69,57338.0,0.101,Assam
A96,116444,104.8,0.0,1900.12,116444.0,0.201,Assam
A97,88080,79.272,0.01,3949.1,88080.0,1.216,Assam
A98,101069,90.962,0.0,4347.89,101069.0,1.152,Assam
A99,130234,117.211,0.01,4574.72,130234.0,1.327,Assam
A100,97275,87.548,0.0,2947.45,97275.0,0.938,Assam
A101,88975,80.078,0.0,2096.42,88975.0,0.224,Assam
A102,320315,288.284,14.64,794.99,320315.0,0.108,Assam
A103,112800,101.52,0.0,2948.97,112800.0,0.777,Assam
A104,274725,247.252,0.0,8204.27,274725.0,1.264,Assam
A105,71441,64.297,0.0,2620.67,71441.0,0.202,Assam
A106,267724,240.952,0.01,7994.48,267724.0,1.409,Assam
A107,82610,74.349,0.0,2268.26,82610.0,0.493,Assam
A108,99676,89.708,0.0,3106.1,99676.0,0.919,Assam
A109,114478,103.03,0.0,3523.69,114478.0,0.956,Assam
A110,71245,64.121,0.0,1886.59,71245.0,0.242,Assam
A111,88230,79.407,0.0,2824.87,88230.0,0.537,Assam
A112,150196,135.176,0.02,3961.72,150196.0,0.544,Assam
A113,109702,98.732,10.28,337.69,109702.0,0.04,Assam
A114,104940,94.446,0.01,3606.28,104940.0,0.746,Assam
A115,133458,120.112,0.01,3641.08,133458.0,0.666,Assam
A116,66938,60.244,0.0,1350.75,66938.0,0.001,Assam
A117,161494,145.345,0.0,2630.09,161494.0,0.479,Assam
A118,53521,48.169,0.0,2968.76,53521.0,0.003,Assam
A119,178662,160.796,0.0,3092.37,178662.0,0.58,Assam
A120,59957,53.961,0.0,1750.12,59957.0,0.056,Assam
A121,52092,46.883,0.0,2920.71,52092.0,0.271,Assam
A122,162027,145.824,0.0,4258.43,162027.0,0.663,Assam
A123,153512,138.161,0.01,3309.6,153512.0,0.707,Assam
A124,89521,80.569,0.0,1937.4,89521.0,0.372,Assam
A125,109883,98.895,0.0,2091.24,109883.0,0.428,Assam
A126,70444,63.4,0.0,2539.57,70444.0,0.414,Assam
A127,124049,111.644,0.0,4381.96,124049.0,0.678,Assam
A128,56898,51.208,0.01,3466.77,56898.0,0.846,Assam
A129,101389,91.25,10.53,500.19,101389.0,0.125,Assam
A130,77732,69.959,0.01,1872.07,77732.0,0.268,Assam
A131,241992,217.793,0.0,4583.79,241992.0,0.709,Assam
A132,79616,71.654,0.0,2608.54,79616.0,0.709,Assam
A133,131691,118.522,0.0,2587.45,131691.0,0.307,Assam
A134,50233,45.21,0.01,3312.89,50233.0,0.001,Assam
A135,57523,51.771,0.01,3624.29,57523.0,0.501,Assam
A136,86360,77.724,0.0,2665.72,86360.0,0.589,Assam
A137,128857,115.971,0.0,4952.88,128857.0,1.348,Assam
A138,51768,46.591,11.36,227.55,51768.0,0.02,Assam
A139,67833,61.05,0.0,1734.67,67833.0,0.213,Assam
A140,81098,72.988,0.0,3099.5,81098.0,0.684,Assam
A141,63270,56.943,10.41,463.97,63270.0,0.078,Assam
A142,164962,148.466,0.0,3386.84,164962.0,0.882,Assam
A143,133355,120.02,16.29,717.6,133355.0,0.194,Assam
A144,50359,45.323,0.0,2300.64,50359.0,0.102,Assam
A145,109560,98.604,0.0,2373.73,109560.0,0.038,Assam
A146,52595,47.336,0.0,2193.51,52595.0,0.768,Assam
A147,84895,76.406,0.01,3068.78,84895.0,0.532,Assam
A148,55385,49.846,0.0,3095.45,55385.0,0.716,Assam
A149,130688,117.619,0.01,2268.26,130688.0,0.241,Assam
